transaction_id,expected_tax_category,expected_gst_amount,expected_exception
TXN-0001,GST_TAXABLE,120.00,false
TXN-0002,GST_FREE,0.00,false
TXN-0003,GST_TAXABLE,30.00,false
TXN-0004,GST_TAXABLE,54.00,false
TXN-0005,INPUT_TAXED,0.00,false
TXN-0006,OUT_OF_SCOPE,0.00,false
TXN-0007,NEEDS_REVIEW,,true
TXN-0008,GST_TAXABLE,150.00,true
TXN-0009,NEEDS_REVIEW,,true
TXN-0010,CONSOLIDATION_ELIMINATION,0.00,true
TXN-0011,GST_TAXABLE,-8.00,false
TXN-0012,GST_TAXABLE,0.00,false
TXN-0013,TRANSFER_PRICING_REVIEW,0.00,true
TXN-0014,WHT_REVIEW,0.00,true
TXN-0015,WHT_REVIEW,0.00,true
TXN-0016,WHT_REVIEW,0.00,true
TXN-0017,FBT_REVIEW,220.00,true
TXN-0018,FBT_REVIEW,145.00,true
TXN-0019,R_AND_D_REVIEW,3800.00,true
TXN-0020,R_AND_D_REVIEW,0.00,true
TXN-0021,TRUST_DISTRIBUTION_REVIEW,0.00,true
TXN-0022,TRUST_DISTRIBUTION_REVIEW,0.00,true
TXN-0023,CONSOLIDATION_ELIMINATION,0.00,false
TXN-0024,CONSOLIDATION_ELIMINATION,0.00,true
TXN-0025,REVERSE_CHARGE_REVIEW,0.00,true
TXN-0026,GST_TAXABLE,11800.00,false
TXN-0027,GST_TAXABLE,40.00,true
TXN-0028,GST_TAXABLE,10.00,true
TXN-0029,INPUT_TAXED,0.00,false
TXN-0030,CAPEX_REVIEW,45000.00,true
TXN-0031,TAX_PROVISION_REVIEW,0.00,true
TXN-0032,TAX_PROVISION_REVIEW,0.00,true
TXN-0033,FINANCIAL_SUPPLY_REVIEW,0.00,true
TXN-0034,FINANCIAL_SUPPLY_REVIEW,0.00,true
TXN-0035,OUT_OF_SCOPE,0.00,false
TXN-0036,GST_TAXABLE,-20.00,false
